objectid,district_n,district_c,year,total_cereal,total_cropped_area
1,Una,29,1998,63760,70669
2,Solan,31,1998,53428,65442
3,Sirmaur,32,1998,61909,78282
4,Kinnaur,34,1998,4721,9334
5,Bilaspur,30,1998,53612,55923
6,Kangra,24,1998,195371,222487
7,Lahul & Spiti,25,1998,1045,3358
8,Mandi,27,1998,143385,161101
9,Kullu,26,1998,45477,60979
10,Chamba,23,1998,57376,66540
11,Shimla,33,1998,55977,104406
12,Hamirpur,28,1998,70437,71615
1,Una,29,1999,64292,71500
2,Solan,31,1999,53238,64872
3,Sirmaur,32,1999,60784,77464
4,Kinnaur,34,1999,4683,9059
5,Bilaspur,30,1999,55292,57649
6,Kangra,24,1999,193095,220117
7,Lahul & Spiti,25,1999,923,3486
8,Mandi,27,1999,142427,160419
9,Kullu,26,1999,42430,57511
10,Chamba,23,1999,54631,64322
11,Shimla,33,1999,50512,99620
12,Hamirpur,28,1999,69650,70748
1,Una,29,2000,62127,68906
2,Solan,31,2000,52780,63698
3,Sirmaur,32,2000,60265,76728
4,Kinnaur,34,2000,4730,9328
5,Bilaspur,30,2000,56072,57970
6,Kangra,24,2000,190622,217253
7,Lahul & Spiti,25,2000,945,3595
8,Mandi,27,2000,139667,157734
9,Kullu,26,2000,50313,66818
10,Chamba,23,2000,52976,62540
11,Shimla,33,2000,44993,94034
12,Hamirpur,28,2000,68119,68938
1,Una,29,2005,64408,71469
2,Solan,31,2005,51964,62989
3,Sirmaur,32,2005,57280,74598
4,Kinnaur,34,2005,3331,9017
5,Bilaspur,30,2005,52946,54707
6,Kangra,24,2005,191732,217266
7,Lahul & Spiti,25,2005,838,3464
8,Mandi,27,2005,137123,156428
9,Kullu,26,2005,48078,65784
10,Chamba,23,2005,56962,66728
11,Shimla,33,2005,39025,92353
12,Hamirpur,28,2005,67860,68714
