name,year,rate,code,
Andaman and Nicobar,2011,86.63,1,
Telangana,2011,0,36,
Andhra Pradesh,2011,67.7,2,
Arunachal Pradesh,2011,65.39,3,
Assam,2011,72.19,4,
Bihar,2011,61.8,5,
Chandigarh,2011,86.05,6,
Chhattisgarh,2011,70.28,7,
Dadra and Nagar Haveli,2011,76.28,8,
Daman and Diu,2011,87.1,9,
Delhi,2011,86.21,10,
Goa,2011,88.7,11,
Gujarat,2011,78.03,12,
Haryana,2011,75.55,13,
Himachal Pradesh,2011,82.2,14,
Jharkhand,2011,66.41,16,
Karnataka,2011,75.37,17,
Kerala,2011,94,18,
Lakshadweep,2011,91.85,19,
Madhya Pradesh,2011,69.32,20,
Maharashtra,2011,82.34,21,
Manipur,2011,89.22,22,
Meghalaya,2011,74.43,23,
Mizoram,2011,91.33,24,
Nagaland,2011,89.56,25,
Orissa,2011,72.89,26,
Puducherry,2011,85.85,27,
Punjab,2011,75.84,28,
Rajasthan,2011,66.11,29,
Sikkim,2011,81.42,30,
Tamil Nadu,2011,80.09,31,
Tripura,2011,87.22,32,
Uttar Pradesh,2011,67.68,33,
Uttaranchal,2011,78.82,34,
West Bengal,2011,76.26,35,
Jammu and Kashmir,2011,67.16,15,
Andaman and Nicobar,2010,81.3,1,
Telangana,2010,0,36,
Andhra Pradesh,2010,60.47,2,
Arunachal Pradesh,2010,54.34,3,
Assam,2010,63.25,4,
Bihar,2010,47,5,
Chandigarh,2010,81.94,6,
Chhattisgarh,2010,64.66,7,
Dadra and Nagar Haveli,2010,57.63,8,
Daman and Diu,2010,78.18,9,
Delhi,2010,81.67,10,
Goa,2010,82.01,11,
Gujarat,2010,69.1,12,
Haryana,2010,67.9,13,
Himachal Pradesh,2010,76.5,14,
Jharkhand,2010,53.6,16,
Karnataka,2010,60.47,17,
Kerala,2010,90.9,18,
Lakshadweep,2010,86.66,19,
Madhya Pradesh,2010,63.7,20,
Maharashtra,2010,76.9,21,
Manipur,2010,69.93,22,
Meghalaya,2010,62.56,23,
Mizoram,2010,88.8,24,
Nagaland,2010,66.59,25,
Orissa,2010,63.1,26,
Puducherry,2010,81.24,27,
Punjab,2010,69.7,28,
Rajasthan,2010,60.4,29,
Sikkim,2010,68.81,30,
Tamil Nadu,2010,73.5,31,
Tripura,2010,73.19,32,
Uttar Pradesh,2010,56.3,33,
Uttaranchal,2010,71.6,34,
West Bengal,2010,68.6,35,
Jammu and Kashmir,2010,55.5,15,
Andaman and Nicobar,2009,81.3,1,
Telangana,2009,0,36,
Andhra Pradesh,2009,60.47,2,
Arunachal Pradesh,2009,54.34,3,
Assam,2009,63.25,4,
Bihar,2009,47,5,
Chandigarh,2009,81.94,6,
Chhattisgarh,2009,64.66,7,
Dadra and Nagar Haveli,2009,57.63,8,
Daman and Diu,2009,78.18,9,
Delhi,2009,81.67,10,
Goa,2009,82.01,11,
Gujarat,2009,69.1,12,
Haryana,2009,67.9,13,
Himachal Pradesh,2009,76.5,14,
Jharkhand,2009,53.6,16,
Karnataka,2009,60.47,17,
Kerala,2009,90.9,18,
Lakshadweep,2009,86.66,19,
Madhya Pradesh,2009,63.7,20,
Maharashtra,2009,76.9,21,
Manipur,2009,69.93,22,
Meghalaya,2009,62.56,23,
Mizoram,2009,88.8,24,
Nagaland,2009,66.59,25,
Orissa,2009,63.1,26,
Puducherry,2009,81.24,27,
Punjab,2009,69.7,28,
Rajasthan,2009,60.4,29,
Sikkim,2009,68.81,30,
Tamil Nadu,2009,73.5,31,
Tripura,2009,73.19,32,
Uttar Pradesh,2009,56.3,33,
Uttaranchal,2009,71.6,34,
West Bengal,2009,68.6,35,
Jammu and Kashmir,2009,55.5,15,
Andaman and Nicobar,2008,81.3,1,
Telangana,2008,0,36,
Andhra Pradesh,2008,60.47,2,
Arunachal Pradesh,2008,54.34,3,
Assam,2008,63.25,4,
Bihar,2008,47,5,
Chandigarh,2008,81.94,6,
Chhattisgarh,2008,64.66,7,
Dadra and Nagar Haveli,2008,57.63,8,
Daman and Diu,2008,78.18,9,
Delhi,2008,81.67,10,
Goa,2008,82.01,11,
Gujarat,2008,69.1,12,
Haryana,2008,67.9,13,
Himachal Pradesh,2008,76.5,14,
Jharkhand,2008,53.6,16,
Karnataka,2008,60.47,17,
Kerala,2008,90.9,18,
Lakshadweep,2008,86.66,19,
Madhya Pradesh,2008,63.7,20,
Maharashtra,2008,76.9,21,
Manipur,2008,69.93,22,
Meghalaya,2008,62.56,23,
Mizoram,2008,88.8,24,
Nagaland,2008,66.59,25,
Orissa,2008,63.1,26,
Puducherry,2008,81.24,27,
Punjab,2008,69.7,28,
Rajasthan,2008,60.4,29,
Sikkim,2008,68.81,30,
Tamil Nadu,2008,73.5,31,
Tripura,2008,73.19,32,
Uttar Pradesh,2008,56.3,33,
Uttaranchal,2008,71.6,34,
West Bengal,2008,68.6,35,
Jammu and Kashmir,2008,55.5,15,
Andaman and Nicobar,2007,81.3,1,
Telangana,2007,0,36,
Andhra Pradesh,2007,60.47,2,
Arunachal Pradesh,2007,54.34,3,
Assam,2007,63.25,4,
Bihar,2007,47,5,
Chandigarh,2007,81.94,6,
Chhattisgarh,2007,64.66,7,
Dadra and Nagar Haveli,2007,57.63,8,
Daman and Diu,2007,78.18,9,
Delhi,2007,81.67,10,
Goa,2007,82.01,11,
Gujarat,2007,69.1,12,
Haryana,2007,67.9,13,
Himachal Pradesh,2007,76.5,14,
Jharkhand,2007,53.6,16,
Karnataka,2007,60.47,17,
Kerala,2007,90.9,18,
Lakshadweep,2007,86.66,19,
Madhya Pradesh,2007,63.7,20,
Maharashtra,2007,76.9,21,
Manipur,2007,69.93,22,
Meghalaya,2007,62.56,23,
Mizoram,2007,88.8,24,
Nagaland,2007,66.59,25,
Orissa,2007,63.1,26,
Puducherry,2007,81.24,27,
Punjab,2007,69.7,28,
Rajasthan,2007,60.4,29,
Sikkim,2007,68.81,30,
Tamil Nadu,2007,73.5,31,
Tripura,2007,73.19,32,
Uttar Pradesh,2007,56.3,33,
Uttaranchal,2007,71.6,34,
West Bengal,2007,68.6,35,
Jammu and Kashmir,2007,55.5,15,
Andaman and Nicobar,2006,81.3,1,
Telangana,2006,0,36,
Andhra Pradesh,2006,60.47,2,
Arunachal Pradesh,2006,54.34,3,
Assam,2006,63.25,4,
Bihar,2006,47,5,
Chandigarh,2006,81.94,6,
Chhattisgarh,2006,64.66,7,
Dadra and Nagar Haveli,2006,57.63,8,
Daman and Diu,2006,78.18,9,
Delhi,2006,81.67,10,
Goa,2006,82.01,11,
Gujarat,2006,69.1,12,
Haryana,2006,67.9,13,
Himachal Pradesh,2006,76.5,14,
Jharkhand,2006,53.6,16,
Karnataka,2006,60.47,17,
Kerala,2006,90.9,18,
Lakshadweep,2006,86.66,19,
Madhya Pradesh,2006,63.7,20,
Maharashtra,2006,76.9,21,
Manipur,2006,69.93,22,
Meghalaya,2006,62.56,23,
Mizoram,2006,88.8,24,
Nagaland,2006,66.59,25,
Orissa,2006,63.1,26,
Puducherry,2006,81.24,27,
Punjab,2006,69.7,28,
Rajasthan,2006,60.4,29,
Sikkim,2006,68.81,30,
Tamil Nadu,2006,73.5,31,
Tripura,2006,73.19,32,
Uttar Pradesh,2006,56.3,33,
Uttaranchal,2006,71.6,34,
West Bengal,2006,68.6,35,
Jammu and Kashmir,2006,55.5,15,
Andaman and Nicobar,2005,81.3,1,
Telangana,2005,0,36,
Andhra Pradesh,2005,60.47,2,
Arunachal Pradesh,2005,54.34,3,
Assam,2005,63.25,4,
Bihar,2005,47,5,
Chandigarh,2005,81.94,6,
Chhattisgarh,2005,64.66,7,
Dadra and Nagar Haveli,2005,57.63,8,
Daman and Diu,2005,78.18,9,
Delhi,2005,81.67,10,
Goa,2005,82.01,11,
Gujarat,2005,69.1,12,
Haryana,2005,67.9,13,
Himachal Pradesh,2005,76.5,14,
Jharkhand,2005,53.6,16,
Karnataka,2005,60.47,17,
Kerala,2005,90.9,18,
Lakshadweep,2005,86.66,19,
Madhya Pradesh,2005,63.7,20,
Maharashtra,2005,76.9,21,
Manipur,2005,69.93,22,
Meghalaya,2005,62.56,23,
Mizoram,2005,88.8,24,
Nagaland,2005,66.59,25,
Orissa,2005,63.1,26,
Puducherry,2005,81.24,27,
Punjab,2005,69.7,28,
Rajasthan,2005,60.4,29,
Sikkim,2005,68.81,30,
Tamil Nadu,2005,73.5,31,
Tripura,2005,73.19,32,
Uttar Pradesh,2005,56.3,33,
Uttaranchal,2005,71.6,34,
West Bengal,2005,68.6,35,
Jammu and Kashmir,2005,55.5,15,
Andaman and Nicobar,2004,81.3,1,
Telangana,2004,0,36,
Andhra Pradesh,2004,60.47,2,
Arunachal Pradesh,2004,54.34,3,
Assam,2004,63.25,4,
Bihar,2004,47,5,
Chandigarh,2004,81.94,6,
Chhattisgarh,2004,64.66,7,
Dadra and Nagar Haveli,2004,57.63,8,
Daman and Diu,2004,78.18,9,
Delhi,2004,81.67,10,
Goa,2004,82.01,11,
Gujarat,2004,69.1,12,
Haryana,2004,67.9,13,
Himachal Pradesh,2004,76.5,14,
Jharkhand,2004,53.6,16,
Karnataka,2004,60.47,17,
Kerala,2004,90.9,18,
Lakshadweep,2004,86.66,19,
Madhya Pradesh,2004,63.7,20,
Maharashtra,2004,76.9,21,
Manipur,2004,69.93,22,
Meghalaya,2004,62.56,23,
Mizoram,2004,88.8,24,
Nagaland,2004,66.59,25,
Orissa,2004,63.1,26,
Puducherry,2004,81.24,27,
Punjab,2004,69.7,28,
Rajasthan,2004,60.4,29,
Sikkim,2004,68.81,30,
Tamil Nadu,2004,73.5,31,
Tripura,2004,73.19,32,
Uttar Pradesh,2004,56.3,33,
Uttaranchal,2004,71.6,34,
West Bengal,2004,68.6,35,
Jammu and Kashmir,2004,55.5,15,
Andaman and Nicobar,2003,81.3,1,
Telangana,2003,0,36,
Andhra Pradesh,2003,60.47,2,
Arunachal Pradesh,2003,54.34,3,
Assam,2003,63.25,4,
Bihar,2003,47,5,
Chandigarh,2003,81.94,6,
Chhattisgarh,2003,64.66,7,
Dadra and Nagar Haveli,2003,57.63,8,
Daman and Diu,2003,78.18,9,
Delhi,2003,81.67,10,
Goa,2003,82.01,11,
Gujarat,2003,69.1,12,
Haryana,2003,67.9,13,
Himachal Pradesh,2003,76.5,14,
Jharkhand,2003,53.6,16,
Karnataka,2003,60.47,17,
Kerala,2003,90.9,18,
Lakshadweep,2003,86.66,19,
Madhya Pradesh,2003,63.7,20,
Maharashtra,2003,76.9,21,
Manipur,2003,69.93,22,
Meghalaya,2003,62.56,23,
Mizoram,2003,88.8,24,
Nagaland,2003,66.59,25,
Orissa,2003,63.1,26,
Puducherry,2003,81.24,27,
Punjab,2003,69.7,28,
Rajasthan,2003,60.4,29,
Sikkim,2003,68.81,30,
Tamil Nadu,2003,73.5,31,
Tripura,2003,73.19,32,
Uttar Pradesh,2003,56.3,33,
Uttaranchal,2003,71.6,34,
West Bengal,2003,68.6,35,
Jammu and Kashmir,2003,55.5,15,
Andaman and Nicobar,2002,81.3,1,
Telangana,2002,0,36,
Andhra Pradesh,2002,60.47,2,
Arunachal Pradesh,2002,54.34,3,
Assam,2002,63.25,4,
Bihar,2002,47,5,
Chandigarh,2002,81.94,6,
Chhattisgarh,2002,64.66,7,
Dadra and Nagar Haveli,2002,57.63,8,
Daman and Diu,2002,78.18,9,
Delhi,2002,81.67,10,
Goa,2002,82.01,11,
Gujarat,2002,69.1,12,
Haryana,2002,67.9,13,
Himachal Pradesh,2002,76.5,14,
Jharkhand,2002,53.6,16,
Karnataka,2002,60.47,17,
Kerala,2002,90.9,18,
Lakshadweep,2002,86.66,19,
Madhya Pradesh,2002,63.7,20,
Maharashtra,2002,76.9,21,
Manipur,2002,69.93,22,
Meghalaya,2002,62.56,23,
Mizoram,2002,88.8,24,
Nagaland,2002,66.59,25,
Orissa,2002,63.1,26,
Puducherry,2002,81.24,27,
Punjab,2002,69.7,28,
Rajasthan,2002,60.4,29,
Sikkim,2002,68.81,30,
Tamil Nadu,2002,73.5,31,
Tripura,2002,73.19,32,
Uttar Pradesh,2002,56.3,33,
Uttaranchal,2002,71.6,34,
West Bengal,2002,68.6,35,
Jammu and Kashmir,2002,55.5,15,
Andaman and Nicobar,2001,81.3,1,
Telangana,2001,0,36,
Andhra Pradesh,2001,60.47,2,
Arunachal Pradesh,2001,54.34,3,
Assam,2001,63.25,4,
Bihar,2001,47,5,
Chandigarh,2001,81.94,6,
Chhattisgarh,2001,64.66,7,
Dadra and Nagar Haveli,2001,57.63,8,
Daman and Diu,2001,78.18,9,
Delhi,2001,81.67,10,
Goa,2001,82.01,11,
Gujarat,2001,69.1,12,
Haryana,2001,67.9,13,
Himachal Pradesh,2001,76.5,14,
Jharkhand,2001,53.6,16,
Karnataka,2001,60.47,17,
Kerala,2001,90.9,18,
Lakshadweep,2001,86.66,19,
Madhya Pradesh,2001,63.7,20,
Maharashtra,2001,76.9,21,
Manipur,2001,69.93,22,
Meghalaya,2001,62.56,23,
Mizoram,2001,88.8,24,
Nagaland,2001,66.59,25,
Orissa,2001,63.1,26,
Puducherry,2001,81.24,27,
Punjab,2001,69.7,28,
Rajasthan,2001,60.4,29,
Sikkim,2001,68.81,30,
Tamil Nadu,2001,73.5,31,
Tripura,2001,73.19,32,
Uttar Pradesh,2001,56.3,33,
Uttaranchal,2001,71.6,34,
West Bengal,2001,68.6,35,
Jammu and Kashmir,2001,55.5,15,
Andaman and Nicobar,2000,73.02,1,
Telangana,2000,0,36,
Andhra Pradesh,2000,44.1,2,
Arunachal Pradesh,2000,41.59,3,
Assam,2000,52.9,4,
Bihar,2000,37.5,5,
Chandigarh,2000,77.81,6,
Chhattisgarh,2000,42.9,7,
Dadra and Nagar Haveli,2000,40.71,8,
Daman and Diu,2000,71.2,9,
Delhi,2000,75.29,10,
Goa,2000,75.51,11,
Gujarat,2000,61.3,12,
Haryana,2000,55.9,13,
Himachal Pradesh,2000,63.9,14,
Jharkhand,2000,41.4,16,
Karnataka,2000,56,17,
Kerala,2000,89.8,18,
Lakshadweep,2000,81.78,19,
Madhya Pradesh,2000,44.7,20,
Maharashtra,2000,64.9,21,
Manipur,2000,59.89,22,
Meghalaya,2000,49.1,23,
Mizoram,2000,82.26,24,
Nagaland,2000,61.65,25,
Orissa,2000,49.1,26,
Puducherry,2000,74.74,27,
Punjab,2000,58.51,28,
Rajasthan,2000,38.55,29,
Sikkim,2000,56.94,30,
Tamil Nadu,2000,62.66,31,
Tripura,2000,60.44,32,
Uttar Pradesh,2000,40.71,33,
Uttaranchal,2000,57.75,34,
West Bengal,2000,57.7,35,
Jammu and Kashmir,2000,63.86,15,
Andaman and Nicobar,1999,73.02,1,
Telangana,1999,0,36,
Andhra Pradesh,1999,44.1,2,
Arunachal Pradesh,1999,41.59,3,
Assam,1999,52.9,4,
Bihar,1999,37.5,5,
Chandigarh,1999,77.81,6,
Chhattisgarh,1999,42.9,7,
Dadra and Nagar Haveli,1999,40.71,8,
Daman and Diu,1999,71.2,9,
Delhi,1999,75.29,10,
Goa,1999,75.51,11,
