name,year,rate,code
Andaman and Nicobar,1993,34.47,1
Telangana,1993,0,36
Andhra Pradesh,1993,22.19,2
Arunachal Pradesh,1993,39.35,3
Assam,1993,40.86,4
Bihar,1993,54.96,5
Chandigarh,1993,11.35,6
Chhattisgarh,1993,0,7
Dadra and Nagar Haveli,1993,50.84,8
Daman and Diu,1993,15.8,9
Delhi,1993,14.69,10
Goa,1993,14.92,11
Gujarat,1993,24.21,12
Haryana,1993,25.05,13
Himachal Pradesh,1993,28.44,14
Jharkhand,1993,0,16
Karnataka,1993,33.18,17
Kerala,1993,25.43,18
Lakshadweep,1993,25.04,19
Madhya Pradesh,1993,42.52,20
Maharashtra,1993,36.86,21
Manipur,1993,33.78,22
Meghalaya,1993,37.92,23
Mizoram,1993,25.66,24
Nagaland,1993,37.92,25
Orissa,1993,48.56,26
Puducherry,1993,37.4,27
Punjab,1993,11.77,28
Rajasthan,1993,27.41,29
Sikkim,1993,41.43,30
Tamil Nadu,1993,35.03,31
Tripura,1993,39.01,32
Uttar Pradesh,1993,40.85,33
Uttaranchal,1993,0,34
West Bengal,1993,35.66,35
Jammu and Kashmir,1993,25.17,15
Andaman and Nicobar,1999,20.99,1
Telangana,1999,0,36
Andhra Pradesh,1999,15.77,2
Arunachal Pradesh,1999,33.47,3
Assam,1999,36.09,4
Bihar,1999,42.6,5
Chandigarh,1999,5.75,6
Chhattisgarh,1999,0,7
Dadra and Nagar Haveli,1999,17.14,8
Daman and Diu,1999,4.44,9
Delhi,1999,8.23,10
Goa,1999,4.4,11
Gujarat,1999,14.07,12
Haryana,1999,8.74,13
Himachal Pradesh,1999,7.63,14
Jharkhand,1999,0,16
Karnataka,1999,20.04,17
Kerala,1999,12.72,18
Lakshadweep,1999,15.6,19
Madhya Pradesh,1999,37.43,20
Maharashtra,1999,25.02,21
Manipur,1999,28.54,22
Meghalaya,1999,33.87,23
Mizoram,1999,19.47,24
Nagaland,1999,32.67,25
Orissa,1999,47.15,26
Puducherry,1999,21.67,27
Punjab,1999,6.16,28
Rajasthan,1999,15.28,29
Sikkim,1999,36.55,30
Tamil Nadu,1999,21.12,31
Tripura,1999,34.44,32
Uttar Pradesh,1999,31.15,33
Uttaranchal,1999,0,34
West Bengal,1999,27.02,35
Jammu and Kashmir,1999,3.48,15
Andaman and Nicobar,2004,3,1
Telangana,2004,0,36
Andhra Pradesh,2004,29.9,2
Arunachal Pradesh,2004,31.1,3
Assam,2004,34.4,4
Bihar,2004,54.4,5
Chandigarh,2004,11.6,6
Chhattisgarh,2004,49.4,7
Dadra and Nagar Haveli,2004,49.3,8
Daman and Diu,2004,8.8,9
Delhi,2004,13.1,10
Goa,2004,25,11
Gujarat,2004,31.8,12
Haryana,2004,24.1,13
Himachal Pradesh,2004,22.9,14
Jharkhand,2004,45.3,16
Karnataka,2004,33.4,17
Kerala,2004,19.7,18
Lakshadweep,2004,6.4,19
Madhya Pradesh,2004,48.6,20
Maharashtra,2004,38.1,21
Manipur,2004,38,22
Meghalaya,2004,16.1,23
Mizoram,2004,15.3,24
Nagaland,2004,9,25
Orissa,2004,57.2,26
Puducherry,2004,14.1,27
Punjab,2004,20.9,28
Rajasthan,2004,34.4,29
Sikkim,2004,31.1,30
Tamil Nadu,2004,28.9,31
Tripura,2004,40.6,32
Uttar Pradesh,2004,40.9,33
Uttaranchal,2004,32.7,34
West Bengal,2004,34.3,35
Jammu and Kashmir,2004,13.2,15
Andaman and Nicobar,2009,0.4,1
Telangana,2009,0,36
Andhra Pradesh,2009,21.1,2
Arunachal Pradesh,2009,25.9,3
Assam,2009,37.9,4
Bihar,2009,53.5,5
Chandigarh,2009,9.2,6
Chhattisgarh,2009,48.7,7
Dadra and Nagar Haveli,2009,39.1,8
Daman and Diu,2009,33.3,9
Delhi,2009,14.2,10
Goa,2009,8.7,11
Gujarat,2009,23,12
Haryana,2009,20.1,13
Himachal Pradesh,2009,9.5,14
Jharkhand,2009,39.1,16
Karnataka,2009,23.6,17
