name,year,rate,code
Andaman and Nicobar,1993,34.47,1
Telangana,1993,0,36
Andhra Pradesh,1993,22.19,2
Arunachal Pradesh,1993,39.35,3
Assam,1993,40.86,4
Bihar,1993,54.96,5
Chandigarh,1993,11.35,6
Chhattisgarh,1993,0,7
Dadra and Nagar Haveli,1993,50.84,8
Daman and Diu,1993,15.8,9
Delhi,1993,14.69,10
Goa,1993,14.92,11
Gujarat,1993,24.21,12
Haryana,1993,25.05,13
Himachal Pradesh,1993,28.44,14
Jharkhand,1993,0,16
Karnataka,1993,33.18,17
Kerala,1993,25.43,18
Lakshadweep,1993,25.04,19
Madhya Pradesh,1993,42.52,20
Maharashtra,1993,36.86,21
Manipur,1993,33.78,22
Meghalaya,1993,37.92,23
Mizoram,1993,25.66,24
Nagaland,1993,37.92,25
Orissa,1993,48.56,26
Puducherry,1993,37.4,27
Punjab,1993,11.77,28
Rajasthan,1993,27.41,29
Sikkim,1993,41.43,30
Tamil Nadu,1993,35.03,31
Tripura,1993,39.01,32
Uttar Pradesh,1993,40.85,33
Uttaranchal,1993,0,34
West Bengal,1993,35.66,35
Jammu and Kashmir,1993,25.17,15
Andaman and Nicobar,1994,34.47,1
Telangana,1994,0,36
Andhra Pradesh,1994,22.19,2
Arunachal Pradesh,1994,39.35,3
Assam,1994,40.86,4
Bihar,1994,54.96,5
Chandigarh,1994,11.35,6
Chhattisgarh,1994,0,7
Dadra and Nagar Haveli,1994,50.84,8
Daman and Diu,1994,15.8,9
Delhi,1994,14.69,10
Goa,1994,14.92,11
Gujarat,1994,24.21,12
Haryana,1994,25.05,13
Himachal Pradesh,1994,28.44,14
Jharkhand,1994,0,16
Karnataka,1994,33.18,17
Kerala,1994,25.43,18
Lakshadweep,1994,25.04,19
Madhya Pradesh,1994,42.52,20
Maharashtra,1994,36.86,21
Manipur,1994,33.78,22
Meghalaya,1994,37.92,23
Mizoram,1994,25.66,24
Nagaland,1994,37.92,25
Orissa,1994,48.56,26
Puducherry,1994,37.4,27
Punjab,1994,11.77,28
Rajasthan,1994,27.41,29
Sikkim,1994,41.43,30
Tamil Nadu,1994,35.03,31
Tripura,1994,39.01,32
Uttar Pradesh,1994,40.85,33
Uttaranchal,1994,0,34
West Bengal,1994,35.66,35
Jammu and Kashmir,1994,25.17,15
Andaman and Nicobar,1995,34.47,1
Telangana,1995,0,36
Andhra Pradesh,1995,22.19,2
Arunachal Pradesh,1995,39.35,3
Assam,1995,40.86,4
Bihar,1995,54.96,5
Chandigarh,1995,11.35,6
Chhattisgarh,1995,0,7
Dadra and Nagar Haveli,1995,50.84,8
Daman and Diu,1995,15.8,9
Delhi,1995,14.69,10
Goa,1995,14.92,11
Gujarat,1995,24.21,12
Haryana,1995,25.05,13
Himachal Pradesh,1995,28.44,14
Jharkhand,1995,0,16
Karnataka,1995,33.18,17
Kerala,1995,25.43,18
Lakshadweep,1995,25.04,19
Madhya Pradesh,1995,42.52,20
Maharashtra,1995,36.86,21
Manipur,1995,33.78,22
Meghalaya,1995,37.92,23
Mizoram,1995,25.66,24
Nagaland,1995,37.92,25
Orissa,1995,48.56,26
Puducherry,1995,37.4,27
Punjab,1995,11.77,28
Rajasthan,1995,27.41,29
Sikkim,1995,41.43,30
Tamil Nadu,1995,35.03,31
Tripura,1995,39.01,32
Uttar Pradesh,1995,40.85,33
Uttaranchal,1995,0,34
West Bengal,1995,35.66,35
Jammu and Kashmir,1995,25.17,15
Andaman and Nicobar,1996,34.47,1
Telangana,1996,0,36
Andhra Pradesh,1996,22.19,2
Arunachal Pradesh,1996,39.35,3
Assam,1996,40.86,4
Bihar,1996,54.96,5
Chandigarh,1996,11.35,6
Chhattisgarh,1996,0,7
Dadra and Nagar Haveli,1996,50.84,8
Daman and Diu,1996,15.8,9
Delhi,1996,14.69,10
Goa,1996,14.92,11
Gujarat,1996,24.21,12
Haryana,1996,25.05,13
Himachal Pradesh,1996,28.44,14
Jharkhand,1996,0,16
Karnataka,1996,33.18,17
